,name,st_size,st_mode,st_ino,st_dev,st_nlink,st_uid,st_gid,st_atime,st_mtime,st_ctime
33,Want to walk you home 1959-08.mp3,3399982,33206,4970104,4172478725,1,0,0,2023-03-27 23:15:34.680173,2019-09-28 16:53:18.727281,2019-05-16 16:32:14.040646
34,"No rhyme, no reason           .mp3",6409323,33206,1505272,4172478725,1,0,0,2023-03-27 19:22:04.535062,2011-06-23 18:17:52.000000,2019-05-16 16:27:35.733181
35,Track 1.mp3,8751112,33206,1505276,4172478725,1,0,0,2023-03-27 19:21:52.279094,2019-09-28 19:06:44.703642,2019-05-16 16:27:35.734181
36,Track 10.mp3,9664612,33206,1505285,4172478725,1,0,0,2023-03-27 19:21:55.017087,2019-09-28 19:06:53.939855,2019-05-16 16:27:35.738181
37,Track 11.mp3,9827476,33206,1505286,4172478725,1,0,0,2023-03-27 19:21:55.380086,2019-09-28 19:07:16.768262,2019-05-16 16:27:35.738181
38,Track 12.mp3,8171692,33206,1505287,4172478725,1,0,0,2023-03-27 19:21:55.556085,2019-09-28 19:07:31.006307,2019-05-16 16:27:35.738181
39,Track 13.mp3,9198988,33206,1505288,4172478725,1,0,0,2023-03-27 19:21:55.828085,2019-09-28 19:07:43.083227,2019-05-16 16:27:35.739181
40,Track 2.mp3,9401524,33206,1505277,4172478725,1,0,0,2023-03-27 19:21:52.651093,2019-09-28 19:08:07.599451,2019-05-16 16:27:35.734181
41,Track 3.mp3,9013156,33206,1505278,4172478725,1,0,0,2023-03-27 19:21:52.780093,2019-09-28 19:08:17.024435,2019-05-16 16:27:35.735181
42,Track 4.mp3,10210624,33206,1505279,4172478725,1,0,0,2023-03-27 19:21:53.028092,2019-09-28 19:08:23.468218,2019-05-16 16:27:35.735181
43,Track 5.mp3,8672812,33206,1505280,4172478725,1,0,0,2023-03-27 19:21:53.173092,2019-09-28 19:08:30.135292,2019-05-16 16:27:35.736181
44,Track 6.mp3,8192572,33206,1505281,4172478725,1,0,0,2023-03-27 19:21:53.669090,2019-09-28 19:08:37.058656,2019-05-16 16:27:35.736181
45,Track 7.mp3,7825084,33206,1505282,4172478725,1,0,0,2023-03-27 19:21:54.031089,2019-09-28 19:08:44.021054,2019-05-16 16:27:35.736181
46,Track 8.mp3,9131128,33206,1505283,4172478725,1,0,0,2023-03-27 19:21:54.251089,2019-09-28 19:08:50.996898,2019-05-16 16:27:35.737181
47,Track 9.mp3,8614348,33206,1505284,4172478725,1,0,0,2023-03-27 19:21:54.710088,2019-09-28 19:09:00.819215,2019-05-16 16:27:35.737181
48,Track 1.mp3,12525172,33206,1505292,4172478725,1,0,0,2023-03-27 19:21:56.065084,2019-09-28 19:09:06.337509,2019-05-16 16:27:35.741181
49,Track 10.mp3,11341276,33206,1505301,4172478725,1,0,0,2023-03-27 19:21:59.031076,2019-09-28 19:09:11.880876,2019-05-16 16:27:35.744181
50,Track 2.mp3,9538288,33206,1505293,4172478725,1,0,0,2023-03-27 19:21:56.187084,2019-09-28 19:09:20.080808,2019-05-16 16:27:35.741181
51,Track 3.mp3,13323832,33206,1505294,4172478725,1,0,0,2023-03-27 19:21:56.345083,2019-09-28 19:09:24.179350,2019-05-16 16:27:35.741181
52,Track 4.mp3,18945772,33206,1505295,4172478725,1,0,0,2023-03-27 19:21:56.516083,2019-09-28 19:09:28.249839,2019-05-16 16:27:35.742181
53,Track 5.mp3,8716660,33206,1505296,4172478725,1,0,0,2023-03-27 19:21:56.673083,2019-09-28 19:09:31.759864,2019-05-16 16:27:35.742181
54,Track 6.mp3,10199140,33206,1505297,4172478725,1,0,0,2023-03-27 19:21:57.627080,2019-09-28 19:09:35.052655,2019-05-16 16:27:35.743181
55,Track 7.mp3,22236460,33206,1505298,4172478725,1,0,0,2023-03-27 19:21:58.214078,2019-09-28 19:09:37.335576,2019-05-16 16:27:35.743181
56,Track 8.mp3,22931764,33206,1505299,4172478725,1,0,0,2023-03-27 19:21:58.647077,2019-09-28 19:09:39.435416,2019-05-16 16:27:35.743181
57,Track 9.mp3,13411528,33206,1505300,4172478725,1,0,0,2023-03-27 19:21:58.819077,2019-09-28 19:09:41.372083,2019-05-16 16:27:35.744181
58,Track 10.mp3,9799288,33206,1505311,4172478725,1,0,0,2023-03-27 19:22:00.294073,2019-09-28 19:09:42.330482,2019-05-16 16:27:35.748181
59,Track 11.mp3,7621504,33206,1505312,4172478725,1,0,0,2023-03-27 19:22:00.503073,2019-09-28 19:09:43.152377,2019-05-16 16:27:35.749181
60,Track 2.mp3,10322332,33206,1505305,4172478725,1,0,0,2023-03-27 19:21:59.253076,2019-09-28 19:09:46.464198,2019-05-16 16:27:35.746181
61,Track 4.mp3,12430168,33206,1505306,4172478725,1,0,0,2023-03-27 19:21:59.394075,2019-09-28 19:09:48.105065,2019-05-16 16:27:35.746181
62,Track 5.mp3,9020464,33206,1505307,4172478725,1,0,0,2023-03-27 19:21:59.535075,2019-09-28 19:09:48.878129,2019-05-16 16:27:35.747181
63,Track 7.mp3,11729644,33206,1505308,4172478725,1,0,0,2023-03-27 19:21:59.724075,2019-09-28 19:09:50.343752,2019-05-16 16:27:35.747181
64,Track 8.mp3,9727252,33206,1505309,4172478725,1,0,0,2023-03-27 19:22:00.080074,2019-09-28 19:09:53.304756,2019-05-16 16:27:35.747181
65,Track 9.mp3,9089368,33206,1505310,4172478725,1,0,0,2023-03-27 19:22:00.182073,2019-09-28 19:09:54.857427,2019-05-16 16:27:35.748181
66,Track 17                      .mp3,1826087,33206,1505314,4172478725,1,0,0,2023-03-27 19:22:04.631062,2011-06-22 22:35:46.000000,2019-05-16 16:27:35.750180
67,                              .mp3,5559075,33206,4986249,4172478725,1,0,0,2023-03-27 19:22:01.392070,2019-09-29 06:50:28.371082,2019-05-16 16:27:35.702182
68,All the love in the wor       .mp3,3522766,33206,4986252,4172478725,1,0,0,2023-03-27 19:22:01.609070,2019-09-29 06:50:29.537457,2019-05-16 16:27:35.704181
69,Another lonely night in ny    .mp3,4081580,33206,4986254,4172478725,1,0,0,2023-03-27 19:22:01.687069,2019-09-29 06:50:30.504566,2019-05-16 16:27:35.705182
70,Broken bottles                .mp3,3707913,33206,4986256,4172478725,1,0,0,2023-03-27 19:22:01.830069,2019-09-29 06:50:31.703375,2019-05-16 16:27:35.705182
71,Captain dick and dolemite.mp3,10623423,33206,1505237,4172478725,1,0,0,2023-03-27 19:22:00.664072,2013-09-21 15:29:59.000000,2019-05-16 16:27:35.695182
